Input_Date,Area,Part,Guideline_Name,Past_Requirement,Latest_Update,TCR_T_Impact
2026-04-27,Europe (EMA),Non-Clinical,"Orphan designation: IgG1 trispecific monoclonal antibody against T-cell receptor CD3, B-cell maturation antigen and G protein-coupled receptor class C group 5 member D Treatment of multiple myeloma Positive",,,
2026-04-27,USA (FDA),CMC (Quality),"Orphan designation: soquelitinib Treatment of peripheral T-cell lymphoma, 20/10/2025 Positive",,,
